,concept:name,org:resource,time:timestamp,Activity,case:concept:name
0,NewFeature,(c88d9ae28212d641e55f0d7413f910a0851fd01e),2019-06-11,NewFeature,#14251
1,Refactor,(583fc4ee2aa2255fa458571ccd2a7934bb265aa4),2019-10-29,Refactor,#14251
2,Revert,(61225e685d80b34af582d833646a2498eacec577),2019-10-29,Revert,#14251
3,Refactor,(d0e1166cce60381fbdad1105d13765806a525d99),2020-01-03,Refactor,#14251
4,Refactor,(7b304cee16bf87962eba998d8c293e5d4bd23c71),2020-01-14,Refactor,#14251
5,Refactor,(fb67b9bdada3519e67138ff1c3e9e78d462662ce),2021-01-25,Refactor,#14251
6,Comment,(1e246d65ad160d0a33d598046374f3910d8e4084),2022-01-18,Comment,#14251
7,NewFeature,(18904c42f6081391c5ffc096c8acf2ce54dc4a34),2019-06-13,NewFeature,#14265
8,Refactor,(eb6dec03bd8d5f6a99b594c933f0934c348f5034),2019-07-04,Refactor,#14265
9,Formatting,(2d84bcb4cd2338e296b5cccb37eb491c6553ca25),2019-07-14,Formatting,#14265
10,Refactor,(3d153486da36d3722b7109658c37c8ab6de5769e),2019-07-18,Refactor,#14265
11,Refactor,(e5aa45329305be8ac5e277305d52a449a41bfc98),2019-07-20,Refactor,#14265
12,Refactor,(af214ff121dd977b002c9a9065f84b7ae1a66247),2019-10-22,Refactor,#14265
13,BugFix,(6c2438deaea7732f018dccc1c683fe71fbe57c68),2019-12-01,BugFix,#14265
14,Refactor,(65f6a373b0a77da23f0758d5d1520e404436cec0),2020-04-04,Refactor,#14265
15,Refactor,(91dc74ff16d5edb0d8ab5c809614acad25426553),2020-07-04,Refactor,#14265
16,Refactor,(eaf6777a6643a6fab23ceaaa4699cb2466ea6b83),2020-10-16,Refactor,#14265
17,BugFix,(6dcb77f7b59ce894bbb1ffec9064681155a3da4b),2021-02-08,BugFix,#14265
18,BugFix,(2328f8b9b888844a7e12812155743c8098e5c339),2021-02-28,BugFix,#14265
19,Refactor,(e0aa9ce372710d2bd1147ab0779072e6a02b61c9),2021-02-28,Refactor,#14265
20,Refactor,(e60c38b6220678b3b9f3a3b31516852f8d25b3b0),2021-05-26,Refactor,#14265
21,Refactor,(c8ee056cc63c5cb996b70c3336aae9be52f8cc85),2021-07-11,Refactor,#14265
22,Refactor,(6fb2d8a25f096d084348a6f6930f515d947474d4),2021-12-28,Refactor,#14265
23,Refactor,(f07fc7e96f512f4900619049761f75d28f9e0403),2022-02-02,Refactor,#14265
24,Refactor,(4af5229cee2a2bb49ae53d76fbc145fc69d802c6),2024-07-05,Refactor,#14265
25,NewFeature,(dc02d0720df318045e3ca6cdf5f27e6c39525829),2019-07-05,NewFeature,#14309
26,Enhancement,(b9116d4050c2ac0529fb7f63815ea47a99904a80),2019-11-03,Enhancement,#14309
27,Refactor,(6bead0c1b04152f6a291d851f6cd4029fe0fc616),2020-02-13,Refactor,#14309
28,Refactor,(be0c9ff7058235c94256845795ca05c669f51973),2020-10-29,Refactor,#14309
29,Rework,(3a396a25dc9e33be2c18a1bdc23600295e42c82e),2020-11-25,Rework,#14309
30,BugFix,(104de60d0bbad1233455591842bc67cb4f006f30),2021-08-22,BugFix,#14309
31,Enhancement,(d17d86d6a5a29e29e4d8e811d9bd6e6a030b7597),2023-05-14,Enhancement,#14309
32,NewFeature,(81d629bc471dcf926337836d1dd76910d9ff4bfe),2019-07-15,NewFeature,#14595
33,Enhancement,(9dfa5ba3a58d7e2c5be1ef19d9b3a47497671a67),2019-07-17,Enhancement,#14595
34,Refactor,(e5d73f68c8f428d3ce9ba350123bb71b9ec18708),2019-07-29,Refactor,#14595
35,Enhancement,(d98b9d54f112e9a66cf372ffcee165b799479f31),2019-07-31,Enhancement,#14595
36,Enhancement,(d2d71caa3bfef08fb422f09d5088709313c6757c),2019-08-10,Enhancement,#14595
37,Refactor,(f01f0d1956bb5cf0a9efb538b334ed6165a3e20f),2019-09-16,Refactor,#14595
38,Enhancement,(d277e93f4df441e0ce9f21e7d3466f8649433875),2019-09-17,Enhancement,#14595
39,Refactor,(d0e1166cce60381fbdad1105d13765806a525d99),2020-01-03,Refactor,#14595
40,Refactor,(7b304cee16bf87962eba998d8c293e5d4bd23c71),2020-01-14,Refactor,#14595
41,Refactor,(bfad23d3e2e590b257ebe4317d7b14cc2dd3435c),2020-02-03,Refactor,#14595
42,Refactor,(b5530775c9a2fb489d5766ea4c01df5dfdbda793),2020-03-07,Refactor,#14595
43,Refactor,(6bead0c1b04152f6a291d851f6cd4029fe0fc616),2020-03-13,Refactor,#14595
44,Enhancement,(c6f3511d8492b54eac1829ec7a9cc39595b85d7b),2020-06-11,Enhancement,#14595
45,BugFix,(0a49ad1ccf1122f8fc9a90bf8c103aee10e1b9e4),2020-06-11,BugFix,#14595
46,Enhancement,(38ce5966e19094fb499ce7d647961c0594c5f811),2020-07-29,Enhancement,#14595
47,Enhancement,(117df87d193994f6fbcd46c45573095adf921784),2020-07-30,Enhancement,#14595
48,Rework,(a37cf2490054ece3c16f0caca26a02c3d33057c8),2020-08-22,Rework,#14595
49,Enhancement,(38983fdfa9773faf7006ef392110aca01ad006d5),2020-08-29,Enhancement,#14595
50,Refactor,(ca0ebf10d10d3c8e99c83c123c5ff2a678cda900),2020-10-04,Refactor,#14595
51,Enhancement,(2fdeceda58808015a93d1cb2a1137c0528668a3e),2020-11-07,Enhancement,#14595
52,Enhancement,(ea371618da71dc43e6aee95a8e479c8797867e04),2020-11-15,Enhancement,#14595
53,Enhancement,(41e4124af9cba37f1e7cd598f47bf21c51d00488),2020-12-29,Enhancement,#14595
54,Refactor,(e3831c146d635530f0e7e3af1afc86186038cd1e),2021-01-05,Refactor,#14595
55,Enhancement,(617f5dfe5e947a95d5037da9fffad655e849b805),2021-02-02,Enhancement,#14595
56,Enhancement,(c2e4b1626f0cce82a55e8de9dc98ed9381e1d9ad),2021-09-14,Enhancement,#14595
57,Refactor,(0e7be8e8c4b1a7ca351ce19b462cac2d27fab82d),2022-02-26,Refactor,#14595
58,Enhancement,(2f91154cbdcec3b81da9913bdd16556e8c775d06),2022-10-25,Enhancement,#14595
59,Refactor,(2691167afe02fbbe74b0fdca2c28a49fac635741),2023-06-02,Refactor,#14595
60,Enhancement,(1dee4d92c61b14458cd394d1f609f0dc80282092),2024-02-04,Enhancement,#14595
61,NewFeature,(d2f20803baa05874e374c5eefd8f124acd3d97fe),2019-07-14,NewFeature,#14619
62,Enhancement,(b8cc61262f5d4f322f537e7eb2ac75bec9490249),2019-07-17,Enhancement,#14619
63,Enhancement,(50e4545255605eb506c20eb107270038b0fe7bdb),2019-09-29,Enhancement,#14619
64,Refactor,(7b304cee16bf87962eba998d8c293e5d4bd23c71),2020-01-14,Refactor,#14619
65,Refactor,(6d90d1e1f552dca5e21bc61b676b8e8ce731b280),2020-04-22,Refactor,#14619
66,Enhancement,(ca105493aa1cf5098e8ecac52197683d2de4bd17),2020-08-22,Enhancement,#14619
67,Enhancement,(df4f80622eb262fe39cc898e0237257b2870aa7f),2023-04-24,Enhancement,#14619
68,NewFeature,(dbee0e9c5424770b9abf8815c0cb8b49de7db77f),2019-09-08,NewFeature,#14648
69,Enhancement,(7f117bfc60aa3fd71e3d53892be39c7cd2d3d96c),2019-09-18,Enhancement,#14648
70,Enhancement,(8cbb5350ad4cdfdec79ad6bdfaec40d670bc247c),2019-09-25,Enhancement,#14648
71,Refactor,(50e4545255605eb506c20eb107270038b0fe7bdb),2019-09-29,Refactor,#14648
72,Enhancement,(32028902c3182338631bbfdbcd8a80625043ab8e),2019-11-12,Enhancement,#14648
73,Refactor,(f83bc0aa13e8cf2d92ec138576cc3a620e74a982),2019-11-29,Refactor,#14648
74,Refactor,(d0e1166cce60381fbdad1105d13765806a525d99),2020-01-03,Refactor,#14648
75,Enhancement,(9b970cf12fb2a0cc6ca84516df97d7b3b4049526),2020-01-05,Enhancement,#14648
76,Refactor,(7b304cee16bf87962eba998d8c293e5d4bd23c71),2020-01-14,Refactor,#14648
77,Refactor,(7f9c62437e5c72947acc3310d94829f132697c81),2020-02-03,Refactor,#14648
78,Refactor,(bfad23d3e2e590b257ebe4317d7b14cc2dd3435c),2020-02-03,Refactor,#14648
79,Enhancement,(23c57011789b32f06756a0ef89dfac04a8eb48c9),2020-03-10,Enhancement,#14648
80,Refactor,(6bead0c1b04152f6a291d851f6cd4029fe0fc616),2020-03-13,Refactor,#14648
81,Refactor,(15f6f53638a6778d22a17e1900fb3a9fdc92dade),2020-04-19,Refactor,#14648
82,Refactor,(6d90d1e1f552dca5e21bc61b676b8e8ce731b280),2020-04-22,Refactor,#14648
83,Refactor,(d8c3aed0383202341a29e65fa556a55c5af47185),2020-06-19,Refactor,#14648
84,Enhancement,(da1a60aeb6b1701941066d3e5a9abd62b5551526),2020-09-17,Enhancement,#14648
85,Enhancement,(820cc69d0a5891cb365ff33e835c585d34e394e0),2020-12-23,Enhancement,#14648
86,Refactor,(acda53aa1c386324b6fb2cf30c77f4e3d06914dc),2021-01-08,Refactor,#14648
87,BugFix,(9eecb2f5426ad14c8094ead327f934ca32e29230),2021-01-10,BugFix,#14648
88,Refactor,(bdb8c07bb22bed1ca78f4b7d14651a8e04828e82),2021-02-23,Refactor,#14648
89,Refactor,(2d2291d00eab6159de24eb7ff74001b1d6dd29e4),2021-03-24,Refactor,#14648
90,Cleanup,(0c8a53e507fa792b114a89fe6902f4efe4ed2fe8),2021-05-11,Cleanup,#14648
91,Refactor,(a6e5492b088add3589aeac168136369f21614e60),2021-05-18,Refactor,#14648
92,Refactor,(26bfc267977ddc444513c793c18f76847e23310e),2021-07-09,Refactor,#14648
93,Refactor,(754b31918a73cb08c322102be5d3926d2ac59c18),2021-09-09,Refactor,#14648
94,Refactor,(520b97083e52efdd47ab434b97823e48d85ade62),2021-09-27,Refactor,#14648
95,Refactor,(e211ff148c39bf5dace72de7cffbb83f19d3f1bf),2021-12-24,Refactor,#14648
96,Revert,(6a8b9274a31d11c396ce1bc44b3a0b872a4606dc),2021-12-25,Revert,#14648
97,Refactor,(9285b6b9edcb42d38736a08785371204aea56501),2022-01-17,Refactor,#14648
98,Refactor,(44eff9a23348dcc117fd1ea9b4b1ef0b54061808),2022-02-18,Refactor,#14648
99,Enhancement,(631e35bfd6cec8d61eca31ac2945ff890ab8f2ed),2022-03-18,Enhancement,#14648
100,Enhancement,(e5b651f407fcb743e2d00c45b0d361fb98230efb),2022-04-01,Enhancement,#14648
101,Enhancement,(920799e38d192f056b76b25a35886f19543308e6),2022-07-08,Enhancement,#14648
102,Refactor,(1bed10c38075a15bfec380c9c7763fea336e787e),2022-08-04,Refactor,#14648
103,Refactor,(e6ac9ff204b09c0a852f71b77417f99ce4f5473a),2023-03-18,Refactor,#14648
104,BugFix,(9249f61a80ea48db8b437f17374c25ed5da1a65b),2023-03-18,BugFix,#14648
105,Refactor,(6e5f41fe6b996e074b042c6ac521475b8e8aab91),2023-05-15,Refactor,#14648
106,Enhancement,(a41e16ffee0ae828ecb73eeea3caab2f4aed82a8),2023-12-06,Enhancement,#14648
107,NewFeature,(e44fccf3d25c6adae4347cf54b654b66a797f7b2),2019-07-30,NewFeature,#14757
108,Refactor,(f9992c5f33d954da1a70a03acf8b58d86def601b),2019-09-11,Refactor,#14757
109,Refactor,(e3fd0519b323182a3d096eca8209c4eaf56b6802),2019-09-30,Refactor,#14757
110,Refactor,(7b304cee16bf87962eba998d8c293e5d4bd23c71),2020-01-14,Refactor,#14757
111,Refactor,(730804289c3134102aa0c1db4f5845b088531f85),2020-02-29,Refactor,#14757
112,BugFix,(9c759e5f74ca69a7cb5169ea217dd179d65b1f44),2020-03-12,BugFix,#14757
113,Refactor,(6bead0c1b04152f6a291d851f6cd4029fe0fc616),2020-03-13,Refactor,#14757
114,Enhancement,(63717822637064b347d046f8f39be824eff51785),2020-05-12,Enhancement,#14757
115,Refactor,(40fce56585594647ae0da610682909048f084eff),2020-06-22,Refactor,#14757
116,Enhancement,(f7b261a363d50f1ca071cd46d859ac3eabc3b4b2),2020-08-09,Enhancement,#14757
117,Cleanup,(4b928b2da8ae26bd4a949debe470a914e23545ca),2020-09-23,Cleanup,#14757
118,Refactor,(3f01b222b2b4f77cff66096dd5a18a64828e1fa4),2021-01-28,Refactor,#14757
119,Enhancement,(dbd28eecc9cd4b5954a4fd1ed0c02bd9788c279b),2021-03-10,Enhancement,#14757
120,Enhancement,(d787cd307680c5c4f155ad4643c1137db56bb006),2021-03-14,Enhancement,#14757
121,Rework,(29ad42e54e88b2117581987aecc811177285eea2),2021-05-20,Rework,#14757
122,Refactor,(2c49283e97f4bb9cac9577af7c38bcf5e0e06826),2021-07-23,Refactor,#14757
123,BugFix,(c657fe2112fcd0dec1fb7012819b19a538fa8f21),2021-08-12,BugFix,#14757
124,Refactor,(79c72ed821564507b0ef46cbb26f9577585e2ccc),2021-09-07,Refactor,#14757
125,Enhancement,(509dfe92d0c2227ddece025fb97875582ca47aed),2022-07-06,Enhancement,#14757
126,Revert,(f73fad1b2fa6e70b3d632969ecf2773bee826643),2022-07-06,Revert,#14757
127,NewFeature,(0fbb26c28fb714a6b34fe0b69b07fc14835c957b),2019-08-13,NewFeature,#14924
128,Enhancement,(6a865a614620d71521bd3dc032adffe0bf82378c),2019-10-09,Enhancement,#14924
129,Refactor,(d0e1166cce60381fbdad1105d13765806a525d99),2020-01-03,Refactor,#14924
130,Refactor,(7b304cee16bf87962eba998d8c293e5d4bd23c71),2020-01-14,Refactor,#14924
131,Refactor,(22da1b2b310158ae3362c54f2534f5f5af30fa83),2020-04-13,Refactor,#14924
132,Refactor,(a69e2923dd02537d777ee2e0d7cd838e39e66548),2021-05-14,Refactor,#14924
133,Refactor,(c1d7e234e1aba1ecc91cfc77d17d38b67618c315),2021-09-19,Refactor,#14924
134,Refactor,(65b950a489c35b1d5547da3a504af4dad8cde3d7),2021-09-28,Refactor,#14924
135,Cleanup,(6b47db3a68668022aa096d6983c89df3f926dc30),2022-03-22,Cleanup,#14924
136,NewFeature,(179d6c4ed115e67ae826b5738e0009c6be2d58ea),2019-08-14,NewFeature,#14953
137,Enhancement,(cc822c1a0513362e28f1b3aff76d4c4c06446f01),2019-10-08,Enhancement,#14953
138,Enhancement,(776632c503540c3bd2061b1b0812c091b3a4f6b4),2019-11-09,Enhancement,#14953
139,Refactor,(d0e1166cce60381fbdad1105d13765806a525d99),2020-01-03,Refactor,#14953
140,Refactor,(7b304cee16bf87962eba998d8c293e5d4bd23c71),2020-01-14,Refactor,#14953
141,Enhancement,(248b7dfa591a34a8aa1c6960944e1a3a468ad1de),2020-01-25,Enhancement,#14953
142,Enhancement,(50889c0f94778c378357bcc4d4a966fa869bc5c1),2020-01-30,Enhancement,#14953
143,Enhancement,(f312ddfa4fd5772d825908f8e376dedf29442893),2020-02-04,Enhancement,#14953
144,Refactor,(b5530775c9a2fb489d5766ea4c01df5dfdbda793),2020-03-07,Refactor,#14953
145,Refactor,(6d90d1e1f552dca5e21bc61b676b8e8ce731b280),2020-04-22,Refactor,#14953
146,Enhancement,(465840e1fb2dd5ce4c996d78ae8764f0d8ec8ea5),2020-12-04,Enhancement,#14953
147,Cleanup,(abbe3f0dc7aa23bae4aa26f6d6b09a4a0665a1a0),2021-05-18,Cleanup,#14953
148,Refactor,(dd4990252e891cdfe56cb7d6e3bbe1e6289be649),2021-05-24,Refactor,#14953
149,Enhancement,(7726af9c5348c1c7d0fd9a56eca87d00cd75fee6),2021-06-05,Enhancement,#14953
150,Refactor,(79c72ed821564507b0ef46cbb26f9577585e2ccc),2021-09-07,Refactor,#14953
151,Refactor,(b88117d6364b8919a8a7df6c80d8132af98a6afc),2021-09-21,Refactor,#14953
152,Refactor,(417e2530ebc5b6c74ac34adaba8be552b407383a),2021-09-25,Refactor,#14953
153,Refactor,(33e0855e2c173680865aaa6c6aa93047d63fc469),2021-09-28,Refactor,#14953
154,NewFeature,(8bdb3d997048fac4dae3ee47b0d7131aa581c644),2019-08-16,NewFeature,#14956
155,Refactor,(d0e1166cce60381fbdad1105d13765806a525d99),2020-01-03,Refactor,#14956
156,Refactor,(7b304cee16bf87962eba998d8c293e5d4bd23c71),2020-01-14,Refactor,#14956
157,Rework,(83eec683c969d793b473015476d03f868b470c04),2020-03-18,Rework,#14956
158,NewFeature,(6715fd159c56351efa83eaad48da30ce3121bcba),2019-08-18,NewFeature,#14961
159,BugFix,(5c0e5c599ff95644dbfd82c7424cfcebb4981b47),2019-08-22,BugFix,#14961
160,Enhancement,(7924e0d819fb50b3d3102b1d464e303c8214b213),2019-08-22,Enhancement,#14961
161,Enhancement,(3ac76f048973e1ecb5ea6f2c50eb5990bbd6a5b9),2019-08-28,Enhancement,#14961
162,BugFix,(7ad520826724bb26ff5a07c26ab7057198f4a2f1),2019-09-04,BugFix,#14961
163,Refactor,(7b304cee16bf87962eba998d8c293e5d4bd23c71),2020-01-14,Refactor,#14961
164,Refactor,(eaf6777a6643a6fab23ceaaa4699cb2466ea6b83),2020-10-16,Refactor,#14961
165,Refactor,(eeffac697c5d7b69e01e38ed1602dbd21a366e93),2021-09-25,Refactor,#14961
166,NewFeature,(5e777601f3c9816dd1ff349886c748add245bea4),2019-08-20,NewFeature,#14991
167,BugFix,(e61e54acfd55e4c2908eeb04bc490744615a790c),2019-08-23,BugFix,#14991
168,Enhancement,(e3ff27c95a8be758afba5e0f44668f1d1fc1ad0f),2019-09-30,Enhancement,#14991
169,Refactor,(e3fd0519b323182a3d096eca8209c4eaf56b6802),2019-09-30,Refactor,#14991
170,BugFix,(b3f81eead5179d70e4e205f3ff0c9a8617ad780d),2019-11-09,BugFix,#14991
171,Enhancement,(27cb4db80eae73eb842f1a944260517bb8783eb3),2019-11-14,Enhancement,#14991
172,Refactor,(7b304cee16bf87962eba998d8c293e5d4bd23c71),2020-01-14,Refactor,#14991
173,Refactor,(c536b8de629807b489f054051bb120457f112a11),2020-04-25,Refactor,#14991
174,Refactor,(1d504e596df79b0572de23f628af457a017b6be3),2020-06-11,Refactor,#14991
175,Refactor,(117df87d193994f6fbcd46c45573095adf921784),2020-07-30,Refactor,#14991
176,Refactor,(4f67642122059a9270f9e3690978248355f88e72),2020-08-21,Refactor,#14991
177,Refactor,(ec02aee46cb2349646b4fcb4f069f50e8696ccbb),2020-08-21,Refactor,#14991
178,Refactor,(eaf6777a6643a6fab23ceaaa4699cb2466ea6b83),2020-10-16,Refactor,#14991
179,Refactor,(06bf3ccfb7a19c972e5f40816d49e3860711f976),2020-11-07,Refactor,#14991
180,Refactor,(ea371618da71dc43e6aee95a8e479c8797867e04),2020-11-15,Refactor,#14991
181,Refactor,(6fb2d8a25f096d084348a6f6930f515d947474d4),2021-12-28,Refactor,#14991
182,Refactor,(a5e1d4c50ae40c8203d8490be83ef86e16ebf1c2),2022-05-22,Refactor,#14991
183,NewFeature,(ba91bca1eb0b5fe0d45c273e57b5853386944c27),2019-08-30,NewFeature,#15081
184,Refactor,(586b334c2ab61240607e878390ed1d53af86da69),2019-08-31,Refactor,#15081
185,Rework,(178dcd6fd8ce1d2eea0cbb79b7f384e48b5ed6e5),2019-09-29,Rework,#15081
186,Refactor,(1ad53cee1f4e2768310fca98de0381df9c39b617),2020-01-13,Refactor,#15081
187,Refactor,(ea7363a8f47f60e2014039b2ff5d33532ba00957),2020-01-14,Refactor,#15081
188,Refactor,(7b304cee16bf87962eba998d8c293e5d4bd23c71),2020-01-14,Refactor,#15081
189,Enhancement,(0fcf2b1110d9f0d362e5aab9cc73d963710e9865),2020-01-20,Enhancement,#15081
190,Enhancement,(86c18ea6e0709a660e0fd9bcc30dcbbc9f39925e),2020-01-24,Enhancement,#15081
191,BugFix,(982197b162fe8574d19f526695dc7ffe87efda1e),2020-03-08,BugFix,#15081
192,Refactor,(4fccb92e072463bd6147b2ce22352b79337cb53c),2020-10-22,Refactor,#15081
193,Enhancement,(7726af9c5348c1c7d0fd9a56eca87d00cd75fee6),2021-06-05,Enhancement,#15081
194,Enhancement,(e5b651f407fcb743e2d00c45b0d361fb98230efb),2022-04-01,Enhancement,#15081
195,Enhancement,(f5daefb09d1fdf3fc931e2ce84a28d4af1ba2bea),2022-04-03,Enhancement,#15081
196,Refactor,(3f4e4a4d891e3c4b73ab80aedec46e69c1b59f0d),2022-07-13,Refactor,#15081
197,Refactor,(467ab74523087a852ab50939d86a0ca0b78f17ad),2023-04-26,Refactor,#15081
198,NewFeature,(832cb7e1ac33663834a69f2d377fbf47451d73d4),2019-10-16,NewFeature,#15195
199,Enhancement,(cd3ec5a77b6488546fb70fb7ddd3229f0dd1513f),2019-10-24,Enhancement,#15195
200,Refactor,(f83bc0aa13e8cf2d92ec138576cc3a620e74a982),2019-11-29,Refactor,#15195
201,Enhancement,(04007834444d88f50455964ca08b4b18a29bc7c6),2019-12-19,Enhancement,#15195
202,Enhancement,(dcdaa2025fe0281d8b274cd5ef0db84d330f40de),2019-12-19,Enhancement,#15195
203,Refactor,(7b304cee16bf87962eba998d8c293e5d4bd23c71),2020-01-14,Refactor,#15195
204,Enhancement,(0fcf2b1110d9f0d362e5aab9cc73d963710e9865),2020-01-20,Enhancement,#15195
205,Refactor,(90b6324563b806ea7dc24ddf299f055dc4854341),2020-02-01,Refactor,#15195
206,Enhancement,(e58d1bf97405f89d0a720c90a63ad677ca0624b5),2020-02-01,Enhancement,#15195
207,BugFix,(ac755fce82a1749ad96c4fe3a61a9ec2dae24814),2020-02-28,BugFix,#15195
208,BugFix,(730804289c3134102aa0c1db4f5845b088531f85),2020-02-29,BugFix,#15195
209,BugFix,(9c759e5f74ca69a7cb5169ea217dd179d65b1f44),2020-03-12,BugFix,#15195
210,BugFix,(fcb8c5a1c1220c0f9c48fcecdd848a060c998703),2020-06-05,BugFix,#15195
211,Cleanup,(7a5d408bc0ad461c0bdbfaa4acdfe24356d7e058),2020-08-06,Cleanup,#15195
212,Enhancement,(1b0a5abd73d162b68b2881486630f60a1e9e7825),2020-11-12,Enhancement,#15195
213,Cleanup,(208200a3ccd4e4d4b22569459a4785de7af5406b),2021-01-04,Cleanup,#15195
214,Refactor,(e7c711996bd3080f5e343eff5556736cbf2e2416),2021-02-08,Refactor,#15195
215,Enhancement,(53a82511ff04df00c6ad47e198da7e8ab9169b07),2021-06-04,Enhancement,#15195
216,Refactor,(79c72ed821564507b0ef46cbb26f9577585e2ccc),2021-09-07,Refactor,#15195
217,Refactor,(754b31918a73cb08c322102be5d3926d2ac59c18),2021-09-09,Refactor,#15195
218,Enhancement,(bb2f100fcdaef30958601ec90ebcaad0fcae8815),2022-03-02,Enhancement,#15195
219,Enhancement,(6aee2c755bb0468df1672d566897f2c6becab597),2022-03-02,Enhancement,#15195
220,Enhancement,(4b84b28c1435ff4520e0f8078f0a061aa27f6884),2022-03-10,Enhancement,#15195
221,Enhancement,(df40181357b08761766067ef5012b2b3d0e34d3e),2022-05-04,Enhancement,#15195
222,Refactor,(69f8da468247986225b33e9a373856650746b5d7),2023-04-23,Refactor,#15195
223,Refactor,(86c811660ebf0b3fcbae2f34273d4c9d0c22abc4),2023-06-02,Refactor,#15195
224,Refactor,(669814d0d408a622f020a55971ba04030e4fa4bf),2024-02-07,Refactor,#15195
225,NewFeature,(05cd4834134aa8cd403ecee7c730ad73dc403f81),2019-09-11,NewFeature,#15209
226,Refactor,(6bead0c1b04152f6a291d851f6cd4029fe0fc616),2020-03-13,Refactor,#15209
227,BugFix,(adb7a88428c04fe73d0923ba50782ba726968da7),2020-03-23,BugFix,#15209
228,Enhancement,(d3a2c6a0b47fba8f560ff9ea60e73eb2610ff527),2021-04-24,Enhancement,#15209
229,Refactor,(e211ff148c39bf5dace72de7cffbb83f19d3f1bf),2021-12-24,Refactor,#15209
230,Revert,(6a8b9274a31d11c396ce1bc44b3a0b872a4606dc),2021-12-25,Revert,#15209
231,Refactor,(44eff9a23348dcc117fd1ea9b4b1ef0b54061808),2022-02-17,Refactor,#15209
232,Refactor,(a41e16ffee0ae828ecb73eeea3caab2f4aed82a8),2023-12-06,Refactor,#15209
233,NewFeature,(d277e93f4df441e0ce9f21e7d3466f8649433875),2019-09-17,NewFeature,#15245
234,Refactor,(7b304cee16bf87962eba998d8c293e5d4bd23c71),2020-01-14,Refactor,#15245
235,Refactor,(6d90d1e1f552dca5e21bc61b676b8e8ce731b280),2020-04-22,Refactor,#15245
236,Refactor,(117df87d193994f6fbcd46c45573095adf921784),2020-06-30,Refactor,#15245
237,Refactor,(ea371618da71dc43e6aee95a8e479c8797867e04),2020-11-15,Refactor,#15245
238,Refactor,(54d400608db83bfa606e1b757589c169c9a38fc2),2021-10-04,Refactor,#15245
239,NewFeature,(b20d5a7cc627164877c95859baaa614f8afc7b99),2019-10-11,NewFeature,#15497
240,BugFix,(bf850827f7331866940ec778876d1e9d834c05ac),2019-10-16,BugFix,#15497
241,Enhancement,(9b88c3e79b4e8c6225784005c21b186209e0eeb5),2019-10-17,Enhancement,#15497
242,BugFix,(16ae9ee88bdbbd5f0cf7b0d7c866149b4146ba8a),2019-10-17,BugFix,#15497
243,BugFix,(6241bcf0c8555f1277a6bde5c7a5d73a1019dfc1),2019-10-20,BugFix,#15497
244,BugFix,(d64ab63026bee982b43d4ebbb821f44b92f391f2),2019-10-22,BugFix,#15497
245,BugFix,(2c4252676336965db2c4837c476d25766fc4d4a5),2019-10-22,BugFix,#15497
246,Refactor,(ff4301a422b081cee26e32e2ef0067ee5e834563),2019-10-24,Refactor,#15497
247,Refactor,(464d98d1788d9e02fdfbb0f917b0e9959266f235),2019-10-24,Refactor,#15497
248,BugFix,(ccf61eca844473f0dbe955f989282d2871fd927c),2019-10-24,BugFix,#15497
249,BugFix,(bdb452ed8120bdeb697525174c8d25417e5156b4),2019-11-02,BugFix,#15497
250,Rework,(e110f5abce90d139a768242780780832b09aa297),2019-11-13,Rework,#15497
251,Refactor,(7b304cee16bf87962eba998d8c293e5d4bd23c71),2020-01-14,Refactor,#15497
252,Refactor,(64d092935b27ff89955f0430eef5815b15e5a92d),2020-03-07,Refactor,#15497
253,Refactor,(6bead0c1b04152f6a291d851f6cd4029fe0fc616),2020-03-13,Refactor,#15497
254,BugFix,(41ffe9851d3d902f450a5b1bd85b1197295dcd7a),2020-03-14,BugFix,#15497
255,Enhancement,(9a6934874a920afb91f0473add66f102c18f4798),2020-05-03,Enhancement,#15497
256,Refactor,(52aa459a2dc08a8f803ad9ffb7aa173dc449637f),2020-05-10,Refactor,#15497
257,Enhancement,(8292136f776424aa6b48e7193b531713d7d7ccd0),2020-05-22,Enhancement,#15497
258,Refactor,(979876e958e73e642b51eb655461c92947fe1deb),2020-09-14,Refactor,#15497
259,Enhancement,(24d8daa01bfbb18b039045775f8fc7a33608d923),2020-09-17,Enhancement,#15497
260,Refactor,(5b56d6698a2a9b78a5dd40446bcb606cbfff010d),2020-09-17,Refactor,#15497
261,Refactor,(c2c6a679ea4bdf48ce1800a8831fcec36c09ce53),2020-09-28,Refactor,#15497
262,Refactor,(eaf6777a6643a6fab23ceaaa4699cb2466ea6b83),2020-10-16,Refactor,#15497
263,Refactor,(c059ea0ea058f7206847e5dc37fe6d6085fd8f4f),2020-10-19,Refactor,#15497
264,Enhancement,(2d88a2cfb7a85104414154ae66a92b2d63dda352),2020-12-24,Enhancement,#15497
265,Enhancement,(b65cdbed91782c83188706a9c340de9c503cf430),2021-05-08,Enhancement,#15497
266,BugFix,(a5b2498de9590a19aeeea4cebc46bc204195012e),2021-06-29,BugFix,#15497
267,Refactor,(41ffe9851d3d902f450a5b1bd85b1197295dcd7a),2021-09-07,Refactor,#15497
268,Enhancement,(eeffac697c5d7b69e01e38ed1602dbd21a366e93),2021-09-25,Enhancement,#15497
269,Refactor,(6fb2d8a25f096d084348a6f6930f515d947474d4),2021-12-28,Refactor,#15497
